district,state,pop_below_15,sex_ratio,sex_ratio_birth,hh_elec,hh_drnk_water,hh_sanitation,hh_fuel,hh_salt,hh_health_insurance,women_10yr_school,women_premarried,women_earlymother,women_menstrual,fam_contra,fam_modern_contra,fam_female_ster,fam_IUD,fam_pill,fam_condom,fam_injectibles,fam_unmet_need,fam_healthworkers,fam_sideeffects,mother_antenatal,mother_neonatal,mother_folic,mother_MCP,delivery_expense,institutional_birth,births_csection,child_vaccinated,child_public_vaccinated,child_private_vaccinated,child_diarrhoea,child_resp,child_diet,child_stunted,child_wasted,child_severely_wasted,child_underwght,child_overwght,women_lowBMI,women_highBMI,women_high_wh,child_anaemic,women_anaemic,young_women_anaemic,women_highBS,men_highBS,women_highBP,men_highBP,women_cervical,women_breast,women_oral,women_tobbaco,men_tobbaco,women_alc,men_alc,HDI,st,dc
Karimganj,Assam,32.25,999.79,884.74,87.07,62.25,61.45,39.61,98.69,64.44,19.58,27.67,9.91,59.77,64.25,54.86,6.07,2.31,34.0,9.46,1.93,8.6,31.01,84.46,42.78,94.19,11.4,99.54,4287.29,69.79,6.99,75.9,95.02,0,7.63,2.29,5.28,29.09,48.03,30.54,52.88,1.04,17.77,6.55,75.82,64.11,52.01,60.64,11.45,15.18,16.52,17.16,0.0,0.0,0.48,43.01,54.2,1.44,6.96,0.565,18.0,18.0
Hailakandi,Assam,33.68,1054.08,950.71,91.22,41.18,60.0,35.23,97.59,53.63,25.31,32.94,10.36,56.06,66.84,49.47,4.09,4.31,24.99,12.8,2.23,8.6,26.13,94.72,43.13,96.22,8.27,100.0,5090.26,75.06,12.78,76.88,100,0,5.1,4.93,1.57,42.86,22.21,8.21,42.44,1.98,25.74,10.91,77.51,59.45,61.36,58.14,14.23,18.88,21.8,24.4,0.0,0.0,0.0,45.14,58.27,3.13,10.05,0.551,18.0,19.0
Bongaigaon,Assam,28.93,998.48,881.29,96.96,95.33,72.48,49.84,98.28,57.6,28.6,41.66,15.37,69.01,57.61,45.34,5.93,2.55,30.55,4.8,0.49,16.07,23.37,65.05,33.91,91.84,22.27,98.52,4777.73,74.92,15.17,73.15,96.82,3.18,4.38,1.58,16.49,46.2,20.2,7.42,35.32,8.81,13.06,16.93,66.44,77.18,70.63,73.8,12.62,14.97,13.6,15.92,0.72,0.78,0.74,18.81,45.69,0.95,13.18,0.684,18.0,20.0
Chirang,Assam,27.97,1014.51,905.78,97.75,92.12,77.08,44.45,98.56,61.49,23.03,30.85,13.73,63.54,65.84,55.57,3.92,5.18,39.9,6.11,0.23,9.81,34.15,75.28,56.53,96.1,22.76,99.23,5051.95,71.06,15.3,68.19,96.48,3.52,6.3,1.63,9.66,42.7,19.46,8.45,39.69,4.5,17.18,13.33,64.24,70.42,65.19,68.8,8.77,13.26,20.8,25.61,0.44,0.22,0.22,18.62,55.1,8.93,30.9,0.607,18.0,21.0
Kamrup,Assam,25.57,996.72,701.36,94.75,92.14,68.74,57.41,98.24,47.04,39.19,21.94,15.72,62.12,38.72,32.26,8.01,3.39,15.8,4.8,0.25,17.64,17.06,58.85,46.86,85.88,24.29,95.48,8654.49,69.79,32.76,72.99,93.94,6.06,5.02,1.48,6.46,22.64,14.8,5.32,19.69,7.47,12.9,23.52,75.08,72.92,71.46,72.51,18.07,19.62,22.21,19.16,0.18,0.0,0.34,14.3,44.65,3.23,19.12,0.707,18.0,22.0
Kamrup Metropolitan,Assam,19.96,946.3,985.61,99.24,87.21,65.18,85.06,99.69,45.5,49.05,21.86,10.06,86.28,56.78,41.45,13.44,4.47,16.79,6.58,0.0,8.78,16.59,50.32,68.86,96.27,16.88,98.25,8274.65,55.71,37.96,68.95,78.85,19.19,5.18,1.3,1.04,25.36,18.24,7.31,25.0,8.65,12.62,21.26,69.11,80.35,74.61,80.61,17.13,20.26,17.01,20.3,0.19,0.19,0.37,11.84,39.87,3.86,24.17,0.874,18.0,23.0
Nalbari,Assam,24.48,1042.72,993.71,94.74,99.54,68.12,51.07,99.41,52.52,41.62,28.11,8.63,74.03,53.3,38.68,11.75,2.62,21.4,2.92,0.0,13.21,18.76,60.58,55.9,92.82,16.68,96.89,6477.58,69.18,38.68,79.75,97.57,0.01,3.62,2.2,8.8,27.49,15.38,4.9,26.69,4.57,16.35,21.84,74.96,70.98,66.37,66.76,17.35,20.89,22.48,24.86,0.86,1.0,0.75,11.73,42.03,2.41,15.54,0.671,18.0,24.0
Baksa,Assam,26.54,1056.88,1097.06,98.09,89.78,68.94,35.18,98.89,68.99,27.78,24.9,12.26,66.99,59.23,47.34,7.13,3.28,33.54,2.71,0.0,12.51,24.81,76.2,56.01,94.99,30.24,99.8,7311.64,82.21,17.56,67.27,100,0,5.8,0.84,13.97,41.17,17.03,6.18,33.98,8.64,15.06,18.8,66.85,78.6,73.56,76.62,13.39,16.11,24.52,24.98,0.26,0.33,0.0,14.86,57.57,11.88,33.43,0.578,18.0,25.0
Darrang,Assam,29.24,928.99,756.89,89.5,99.72,67.85,30.11,97.43,53.65,27.51,42.76,16.05,62.23,46.75,36.47,3.52,2.76,25.8,3.12,0.88,14.79,17.95,51.23,37.48,91.09,22.31,98.98,7000.88,81.13,10.81,58.05,98.88,1.12,2.1,2.34,9.07,42.04,27.01,9.08,33.05,5.56,17.4,13.31,71.03,66.78,70.39,69.87,10.98,14.19,16.65,14.45,0.4,0.0,0.0,10.24,43.03,0.3,7.84,0.593,18.0,26.0
Udalguri,Assam,27.2,1086.83,1255.21,95.53,82.32,73.82,34.02,99.27,70.57,23.82,32.03,4.65,61.77,50.15,36.2,6.39,2.03,23.91,3.02,0.24,14.6,14.63,47.17,49.81,90.95,25.73,99.59,6730.56,78.47,14.38,51.98,87.95,0.01,3.22,2.27,2.46,33.78,21.31,11.57,32.54,5.22,16.11,14.04,66.94,77.56,81.49,72.61,12.12,17.95,19.68,22.61,0.17,0.34,0.17,12.19,50.77,11.06,35.1,0.583,18.0,27.0
Biswanath,Assam,28.68,996.03,1013.76,91.14,76.19,76.62,34.98,97.98,68.35,23.01,25.26,8.99,70.87,72.44,56.13,11.93,2.13,36.27,4.48,0.64,5.25,29.86,73.45,46.49,94.62,21.36,99.27,3675.96,74.01,15.33,74.3,100,0,3.7,1.97,14.47,42.72,27.1,13.73,40.99,3.29,22.03,10.57,69.27,79.84,64.36,67.75,8.14,10.4,23.49,28.44,0.52,0.0,0.0,27.81,61.56,11.46,40.48,0.6,,
Charaideo,Assam,25.8,1027.15,1040.11,91.65,96.4,75.93,27.3,99.66,64.9,26.16,22.59,3.83,68.67,66.98,43.91,20.11,3.97,14.42,4.44,0.14,8.26,22.02,69.45,64.53,95.91,19.38,98.71,4857.58,76.68,20.04,81.49,87.74,7.63,9.79,2.21,9.9,38.95,23.54,7.25,34.75,3.96,24.7,10.3,53.45,69.66,72.27,76.05,11.94,14.86,18.19,17.91,0.19,0.0,0.0,25.4,57.85,17.68,50.41,0.574,,
Dhubri,Assam,32.27,999.53,913.51,92.45,96.7,61.81,40.72,99.13,59.38,20.43,50.78,22.39,48.8,64.06,53.23,1.81,1.33,44.19,5.06,0.72,11.46,22.63,76.74,37.56,96.97,14.55,98.24,4691.43,61.77,6.87,69.48,96.88,0,9.82,1.74,7.36,48.51,21.51,6.68,37.76,6.0,22.16,12.37,68.07,73.08,63.23,65.18,8.17,10.44,18.22,18.99,0.0,0.0,0.0,21.78,54.99,0.34,5.12,0.582,18.0,2.0
Hojai,Assam,27.48,985.64,1017.49,96.34,99.93,63.14,52.03,98.88,67.44,23.06,30.91,15.64,64.56,61.07,48.19,4.26,1.19,37.23,4.92,0.0,13.19,21.69,73.54,51.34,96.2,16.0,98.34,5298.67,59.4,18.36,63.59,86.43,7.78,4.42,2.38,2.66,39.27,12.68,4.6,28.35,5.98,19.31,20.1,69.64,56.78,56.34,54.3,14.6,16.49,20.95,25.21,0.93,0.0,0.45,18.78,53.67,2.16,16.65,0.685,,
Jorhat,Assam,21.58,1008.55,832.77,95.05,85.92,80.36,48.31,98.9,60.05,42.94,24.91,12.94,76.7,63.82,32.33,12.47,3.62,9.87,5.98,0.0,10.37,14.37,62.58,66.95,97.4,26.59,99.19,8434.88,74.86,44.36,70.44,94.15,4.12,6.33,3.01,11.47,38.68,15.47,5.06,33.17,5.43,22.54,19.9,49.48,74.13,71.83,75.14,15.33,19.04,25.86,26.33,0.0,0.18,0.34,16.48,47.11,4.03,30.88,0.735,18.0,13.0
Karbi Anglong,Assam,29.92,993.98,882.18,97.02,79.57,75.16,33.39,99.78,54.09,30.26,26.13,9.09,77.6,66.29,41.06,9.28,6.22,23.58,1.83,0.0,9.31,23.59,74.64,63.93,90.94,9.02,96.42,6821.64,69.21,15.19,74.31,91.43,1.63,2.17,2.23,18.11,31.61,17.22,8.7,28.24,4.29,10.0,15.67,59.32,67.46,58.97,57.5,10.67,14.61,20.1,22.83,0.0,0.0,0.18,20.52,54.95,20.51,48.52,0.652,18.0,15.0
Majuli,Assam,26.22,995.39,753.99,93.48,98.62,65.62,19.33,99.78,60.82,41.71,25.46,10.36,75.42,63.71,31.31,12.15,3.44,13.61,1.16,0.4,11.59,25.06,85.63,72.24,97.18,13.73,98.44,6226.81,85.78,22.5,83.9,100,0,3.6,3.01,14.2,35.44,14.12,3.86,22.21,3.78,17.99,14.37,52.96,72.95,67.81,65.5,11.1,14.9,19.67,23.26,0.19,0.0,0.19,26.64,54.71,32.09,45.35,0.583,,
Nagaon,Assam,31.06,1050.35,969.26,94.48,96.12,66.09,38.57,98.67,59.39,22.13,42.57,14.96,58.39,58.64,46.77,7.72,2.75,30.18,5.39,0.13,12.31,16.63,73.72,59.44,97.05,12.31,98.26,5669.97,73.35,17.87,68.01,95.3,3.29,8.71,2.82,8.63,38.89,19.35,5.15,32.36,7.38,21.49,13.24,60.71,68.62,61.03,65.09,15.85,21.43,16.44,17.03,0.16,0.16,0.39,18.2,49.0,2.5,14.79,0.576,18.0,6.0
Sivasagar,Assam,23.84,988.58,914.92,97.03,92.65,82.26,45.54,99.78,60.66,47.06,27.87,12.76,75.71,67.25,39.5,12.41,4.38,16.27,5.11,0.27,8.26,22.07,80.11,80.89,96.53,23.8,100.0,5466.28,76.17,30.03,76.66,97.82,2.18,5.11,0.42,24.42,26.1,21.06,6.12,25.93,3.53,20.5,21.46,60.35,67.46,67.6,67.24,15.29,17.15,22.03,26.03,0.17,0.33,0.53,25.53,58.39,13.53,42.91,0.723,18.0,12.0
Sonitpur,Assam,26.61,1026.99,1325.27,88.24,82.87,72.15,45.75,99.41,66.92,24.25,24.02,6.51,63.43,74.37,58.89,9.12,1.71,41.89,5.32,0.6,5.76,20.51,72.02,45.49,99.23,16.86,98.53,5122.91,73.14,21.11,76.81,100,0.01,4.27,2.39,4.3,36.67,13.11,4.53,21.85,3.23,21.4,13.14,68.78,69.42,63.62,55.54,9.53,11.12,24.83,24.5,0.42,0.42,0.21,23.26,59.12,4.39,28.91,0.629,18.0,7.0
South Salmara Mancachar,Assam,36.67,967.56,910.53,79.46,98.16,58.97,28.47,98.94,68.16,20.89,44.72,22.0,60.6,71.49,60.75,1.07,2.85,52.97,2.48,0.64,7.99,26.74,71.76,35.33,92.96,18.27,99.37,3092.32,69.89,4.98,66.01,100,0,5.39,3.9,7.12,38.89,18.22,7.11,27.86,5.92,11.94,8.53,76.19,69.56,57.13,64.45,8.71,12.04,15.46,16.54,0.0,0.33,0.0,25.15,49.99,0.16,0.87,0.494,,
West Karbi Anglong,Assam,31.65,958.74,1104.77,94.73,44.69,76.67,17.67,98.94,63.07,21.69,21.34,6.02,77.33,69.93,43.31,7.82,3.93,26.75,4.44,0.13,7.1,22.99,80.46,46.72,87.64,10.58,98.74,3597.3,68.88,6.39,54.5,100,0,6.75,2.93,12.77,40.85,23.21,12.7,31.1,3.9,13.07,9.43,54.37,79.03,57.94,58.84,9.14,12.18,16.98,22.17,0.0,0.21,0.0,20.19,58.23,23.03,54.2,0.527,,
Pashchim Champaran,Bihar,36.52,1087.97,903.77,93.45,99.74,43.27,31.42,97.69,19.96,21.56,39.06,12.53,42.91,50.73,40.19,34.49,0.2,1.02,2.65,0.65,12.09,21.02,38.88,25.39,89.66,6.51,83.88,1882,60.61,6.43,82.7,96.75,2.02,22.08,6.64,13.63,43.47,13.24,5.39,30.26,2.4,24.62,20.62,59.44,61.57,50.58,56.3,9.28,13.44,18.13,22.58,0.25,0.0,0.0,5.94,48.08,0.93,10.75,0.533,10.0,1.0
Purba Champaran,Bihar,39.96,1185.07,840.78,94.84,99.87,48.33,44.17,96.91,19.38,20.09,49.24,12.74,41.5,49.88,40.84,31.79,1.05,1.77,2.53,1.23,17.19,18.44,45.67,21.65,86.35,9.8,83.49,2811.32,42.99,5.41,73.83,94.54,5.46,13.4,4.73,15.36,49.11,16.84,5.66,37.85,3.79,23.42,16.32,57.51,60.99,57.33,64.36,10.77,16.36,16.17,23.62,3.27,0.62,0.41,7.56,55.2,0.46,14.85,0.59,,
Sheohar,Bihar,36.19,1066.04,1016.53,97.63,100.0,57.91,31.3,95.58,18.12,20.99,34.61,3.26,57.29,65.56,49.65,38.2,1.12,1.58,4.25,1.65,10.41,24.7,58.69,25.33,94.04,4.97,93.18,2090.38,63.83,5.34,73.47,98.71,1.29,8.69,5.2,3.53,34.44,35.39,21.36,42.24,3.4,20.0,7.58,69.06,73.11,61.64,64.31,7.53,13.86,15.48,20.81,0.0,0.0,0.25,4.53,56.56,0.29,14.92,0.559,10.0,3.0
Sitamarhi,Bihar,38.2,1209.07,1008.61,93.07,99.65,50.65,40.48,94.98,20.7,19.17,46.75,13.06,47.57,52.82,41.04,33.89,1.21,1.29,2.12,1.46,17.02,17.26,52.21,20.28,87.62,9.55,91.12,2538.17,49.86,8.54,76.13,100,0,26.6,3.38,16.33,54.18,16.22,4.74,40.82,2.2,31.79,13.87,59.53,70.03,61.68,61.38,12.27,14.62,17.83,17.89,0.0,0.0,0.0,6.42,55.37,0.14,12.71,0.543,10.0,4.0
Madhubani,Bihar,34.69,1227.33,804.99,98.59,100.0,38.21,39.96,91.9,19.15,26.48,39.18,10.17,57.35,47.44,39.49,32.98,0.71,1.22,2.17,1.58,17.72,18.59,54.3,34.88,94.01,9.12,91.47,2426.03,52.38,13.16,85.6,96,1.99,30.23,4.39,11.95,43.33,17.12,5.99,36.01,1.96,25.09,13.68,66.31,71.01,61.44,69.21,13.21,20.02,18.15,23.38,0.75,0.0,0.31,4.98,53.86,0.13,11.06,0.567,10.0,5.0
Supaul,Bihar,39.76,1125.53,884.39,97.29,99.71,50.7,14.96,94.29,14.21,16.22,55.91,17.04,55.43,63.65,56.22,50.49,0.64,0.81,1.51,1.72,12.1,26.05,44.52,30.94,89.84,8.01,96.13,1759.72,73.55,3.69,80.46,99.25,0,39.31,5.01,14.51,42.32,25.77,8.15,45.0,1.36,30.91,9.37,68.32,63.64,60.7,63.24,12.66,15.55,11.6,14.08,0.38,0.0,0.18,11.39,52.97,0.11,7.91,0.429,10.0,6.0
Araria,Bihar,40.54,1094.2,885.15,96.21,100.0,32.24,15.17,93.74,19.46,16.77,52.03,13.28,36.44,45.99,42.75,36.22,0.11,0.92,1.66,3.22,15.87,11.0,33.86,25.83,86.42,7.59,90.6,3605.75,51.48,9.17,71.1,94.69,1.6,16.25,6.01,12.8,49.89,23.88,5.2,47.77,3.01,30.42,9.92,57.18,75.83,67.94,64.0,13.55,18.81,12.06,15.81,1.14,0.69,0.69,12.28,53.24,0.24,8.43,0.476,10.0,7.0
Kishanganj,Bihar,39.94,1199.27,1016.46,95.78,100.0,52.37,15.25,94.84,8.05,14.99,36.56,10.03,39.81,25.29,21.0,14.58,0.45,2.35,2.51,0.51,21.72,12.17,43.26,17.13,79.17,10.89,84.71,4174.26,41.46,12.1,80.92,97.31,1.67,9.12,1.82,13.14,38.75,23.88,7.56,41.11,1.48,29.09,11.56,53.4,67.46,65.12,62.55,10.98,17.04,17.41,22.67,0.83,0.21,0.2,11.61,50.43,0.55,6.23,0.485,10.0,8.0
Purnia,Bihar,40.23,1128.44,938.24,92.4,99.63,35.63,19.28,92.58,10.17,19.23,51.18,21.43,51.48,25.7,24.34,20.77,0.32,1.83,0.89,0.25,20.24,9.38,21.95,11.13,83.57,6.49,93.44,4083.42,55.71,7.06,81.78,96.69,3.31,12.39,2.67,5.51,43.51,25.8,8.0,47.07,0.84,31.39,14.37,48.6,68.03,66.03,64.02,16.46,21.39,18.72,22.5,2.06,1.21,0.89,6.19,47.26,0.87,13.15,0.496,10.0,9.0
Katihar,Bihar,38.95,1053.26,887.51,92.04,99.16,44.55,16.93,96.7,8.37,19.83,49.36,16.05,49.51,33.79,26.42,18.35,0.54,3.36,1.74,1.33,22.42,22.55,57.47,15.3,84.42,8.44,91.7,2333.08,59.91,3.99,82.63,92.09,0.92,10.62,2.07,13.77,43.94,23.49,8.7,48.07,1.37,26.4,13.12,62.06,65.56,68.37,66.73,14.41,19.56,16.98,17.84,0.0,0.0,0.0,6.1,49.22,0.63,10.25,0.5,10.0,10.0
Madhepura,Bihar,38.32,1147.68,1057.97,96.96,99.25,34.64,13.35,95.4,9.54,23.23,51.99,20.79,49.6,55.81,47.63,37.35,0.25,2.97,4.32,2.4,11.06,29.86,60.78,20.87,87.67,8.16,95.57,981.83,68.83,3.04,87.67,98.4,1.6,13.63,1.55,6.87,46.3,20.59,6.19,43.49,1.5,31.97,12.92,64.86,67.72,65.72,70.37,15.41,16.85,10.44,14.47,0.88,0.0,0.49,7.92,53.17,0.52,13.77,0.448,10.0,11.0
Saharsa,Bihar,38.83,1128.16,1034.03,97.19,100.0,40.52,25.19,94.63,12.82,20.94,51.0,23.47,43.51,44.72,37.55,34.52,0.8,0.52,0.9,0.8,16.66,21.78,38.71,11.66,82.72,4.36,95.13,2272.54,61.95,6.05,88.5,98.76,1.24,8.79,1.95,10.33,47.78,20.48,8.33,42.68,1.86,30.97,12.84,51.74,69.25,65.3,67.89,11.66,16.5,14.92,15.47,0.24,0.24,0.0,10.67,54.93,0.2,9.64,0.495,10.0,12.0
Darbhanga,Bihar,37.06,1121.86,811.85,97.23,99.75,48.72,41.64,96.02,25.33,22.72,45.07,10.27,57.53,61.34,48.84,37.46,0.36,3.04,4.91,1.08,12.74,21.51,50.17,24.87,91.9,12.2,87.59,3229.51,55.8,10.62,80.69,94.9,5.1,14.27,3.76,13.99,45.44,19.26,6.37,39.24,1.51,25.59,13.43,59.79,68.94,60.75,59.71,13.48,19.31,17.45,23.49,0.81,0.19,0.23,5.62,55.14,0.31,10.62,0.591,10.0,13.0
Muzaffarpur,Bihar,34.9,1097.22,684.56,96.58,99.89,55.18,41.54,96.09,13.22,33.78,32.86,8.17,67.82,66.12,55.73,45.03,0.92,2.32,4.68,1.2,12.05,20.82,57.89,28.18,93.76,8.11,84.11,3662.85,51.3,10.53,83.74,98.01,1.99,14.63,4.32,17.17,42.62,19.94,8.08,34.69,1.91,25.16,16.46,57.32,64.64,58.88,66.1,12.41,16.41,18.09,23.98,1.38,0.19,0.0,7.24,51.5,0.51,11.24,0.657,10.0,14.0
Gopalganj,Bihar,34.56,1156.69,942.68,96.23,99.92,60.1,39.35,96.64,12.73,32.91,27.96,7.56,63.82,57.34,39.52,27.05,0.2,1.45,3.29,0.62,19.41,17.89,45.7,27.88,90.1,8.6,89.56,2559.36,60.26,9.1,97.91,98.1,1.9,6.1,5.85,13.83,34.16,21.47,9.76,29.23,3.53,22.66,17.94,69.01,56.08,53.77,54.06,10.52,10.09,20.34,22.84,1.47,0.19,0.0,5.18,47.84,0.14,11.98,0.665,10.0,15.0
Siwan,Bihar,31.54,1140.73,1060.3,95.29,99.81,47.71,48.04,94.09,8.2,38.85,21.29,2.58,55.82,53.52,42.35,30.19,0.0,2.27,6.99,0.74,15.41,9.26,40.23,30.26,96.56,12.84,82.9,4135.18,65.3,11.34,83.15,100,0,15.76,7.44,10.83,36.65,18.18,5.84,30.79,3.13,18.08,23.3,63.54,63.92,53.12,63.98,9.04,15.68,19.55,29.6,0.15,0.0,0.0,4.61,44.07,0.41,11.35,0.717,10.0,16.0
Saran,Bihar,35.26,1076.82,779.29,93.62,99.74,37.15,36.83,92.88,9.41,35.54,26.24,6.15,58.97,41.13,31.42,23.55,0.35,1.7,4.91,0.45,17.34,17.96,36.74,30.74,88.05,8.5,94.33,2903.42,57.17,8.02,85.66,99.12,0.88,15.89,1.62,7.11,39.67,28.8,10.02,44.96,1.97,22.05,19.11,50.72,69.82,62.8,70.87,16.46,18.12,16.74,19.33,0.5,0.76,0.33,4.15,44.0,0.57,17.37,0.661,10.0,17.0
Vaishali,Bihar,34.69,1069.05,1117.97,96.45,99.19,52.6,40.91,86.24,13.49,33.96,44.86,8.06,68.21,45.8,40.99,36.49,0.88,0.79,1.85,0.71,16.71,18.47,47.36,24.52,80.78,6.81,88.54,2571.25,63.1,9.53,84.16,98.08,1.03,14.96,3.92,11.72,38.26,19.61,6.49,38.36,3.8,26.12,16.92,61.79,77.14,63.13,69.61,13.61,17.06,17.36,19.56,0.21,0.39,0.79,3.85,46.31,0.35,19.21,0.646,10.0,18.0
Samastipur,Bihar,37.82,1070.62,889.65,95.73,98.58,48.77,36.11,91.85,19.04,26.48,49.77,14.92,58.65,63.7,53.77,41.09,0.56,3.04,4.36,1.7,11.13,20.55,59.4,23.53,90.4,8.9,90.42,2267.84,71.92,6.15,85.48,98.3,1.7,10.63,4.52,17.69,44.0,21.32,7.94,42.76,1.74,26.66,15.17,54.26,67.19,60.51,65.93,14.27,15.86,15.83,16.36,0.63,0.6,0.4,3.51,51.65,0.13,10.52,0.54,10.0,19.0
Begusarai,Bihar,36.41,1075.89,1058.37,96.17,99.05,62.23,45.23,89.17,13.23,34.07,49.48,12.08,70.68,55.76,46.19,36.67,0.99,1.19,2.86,1.18,15.95,17.4,53.14,21.56,88.55,11.75,87.82,1710.47,63.61,6.26,80.77,96.54,1.71,11.85,3.13,4.55,37.76,21.02,8.82,35.64,4.03,25.99,17.61,68.58,74.53,62.89,64.27,13.24,15.81,13.9,16.95,0.16,0.16,0.0,3.96,49.61,0.38,13.71,0.633,10.0,20.0
Khagaria,Bihar,41.25,1110.9,918.49,94.48,98.8,65.03,33.16,87.99,15.61,26.63,44.85,15.08,50.5,40.93,34.92,27.36,0.22,1.71,2.76,0.45,15.44,14.36,56.2,17.43,83.93,3.53,89.51,4326.66,63.99,4.36,84.33,92.92,2.61,13.89,1.64,16.34,34.82,25.26,9.27,36.4,1.37,24.71,18.14,56.5,67.05,59.46,65.1,17.06,21.72,12.98,16.13,0.65,0.2,0.85,3.46,43.72,0.14,6.88,0.579,10.0,21.0
Bhagalpur,Bihar,35.08,985.89,878.54,94.52,97.99,60.94,49.16,85.23,16.27,35.13,42.36,14.27,75.59,57.36,46.78,31.92,0.0,3.37,9.14,1.59,12.82,31.2,39.88,27.62,89.92,16.78,85.41,2975.44,52.09,11.48,81.04,84.73,8.33,10.87,1.08,8.14,39.95,21.17,8.26,40.42,2.81,22.93,19.39,70.08,78.7,73.02,73.86,15.59,16.28,13.34,14.67,1.59,1.24,1.3,2.39,47.25,0.15,21.17,0.718,10.0,22.0
Banka,Bihar,36.1,1082.8,990.95,96.22,96.31,38.19,32.34,90.06,13.64,22.56,49.41,19.15,62.84,71.51,55.68,44.72,0.66,2.08,4.7,0.44,9.7,21.68,50.04,31.74,93.59,14.69,83.99,8075.77,67.95,7.52,89.54,99.11,0.89,6.88,2.33,2.76,46.74,26.91,10.97,45.76,5.15,23.78,13.4,70.66,77.8,65.86,60.42,12.96,16.92,17.42,18.84,0.55,0.0,0.0,1.81,49.4,0.49,17.86,0.594,10.0,23.0
Munger,Bihar,31.31,1032.15,966.44,98.41,97.74,62.83,59.39,92.57,15.24,44.43,34.65,9.58,80.19,68.55,49.02,33.68,0.58,3.06,8.59,1.07,10.31,23.27,65.27,36.79,90.5,15.32,89.8,2461.46,60.03,21.79,84.81,97.58,1.25,14.51,2.64,5.1,35.45,26.67,9.1,39.47,2.38,23.66,20.91,70.74,74.3,71.35,73.83,19.52,21.82,16.11,18.32,1.45,1.46,1.69,2.53,40.92,0.11,12.93,0.747,10.0,24.0
Lakhisarai,Bihar,37.75,1074.15,885.52,97.98,96.62,51.55,42.56,84.16,15.06,29.96,56.08,12.96,64.92,67.04,50.35,36.95,1.2,3.16,5.15,0.56,11.7,19.81,53.43,28.04,92.78,7.97,87.06,9522.94,58.4,9.33,76.79,97.7,2.3,9.67,1.27,3.58,42.66,25.61,10.39,45.05,1.38,25.27,16.17,67.44,77.24,72.55,75.13,12.84,17.8,12.27,13.82,0.15,0.0,0.14,2.42,45.4,0.75,20.0,0.671,10.0,25.0
Sheikhpura,Bihar,37.5,1074.01,887.89,97.27,98.43,54.16,40.25,90.27,9.74,28.26,46.13,10.2,68.07,78.76,50.27,37.21,0.6,1.48,4.81,2.28,3.15,26.23,58.56,28.35,95.82,6.72,87.71,1842.37,69.73,14.61,86.58,99.37,0.63,9.1,6.82,5.46,53.55,16.29,7.69,37.64,5.6,24.09,13.31,67.69,80.05,69.52,73.94,9.91,11.06,16.33,16.1,0.54,0.49,0.34,2.05,45.01,0.17,23.16,0.683,10.0,26.0
Nalanda,Bihar,37.2,1048.05,958.79,98.86,98.9,52.53,40.99,89.05,12.8,28.8,41.95,9.95,64.44,72.27,52.36,37.78,0.59,2.49,6.02,2.72,7.49,27.75,54.14,29.31,94.21,5.29,87.62,2628.4,53.9,17.06,83.79,100,0,12.42,5.27,9.58,42.61,27.83,12.11,46.66,1.75,23.77,16.03,68.13,80.31,71.04,70.17,11.12,13.57,13.35,14.04,0.38,0.0,0.0,2.81,49.83,0.3,21.49,0.69,10.0,27.0
Patna,Bihar,32.71,949.91,1002.08,99.01,98.76,61.02,64.6,92.9,10.17,43.63,26.59,10.12,74.25,49.32,42.32,31.36,1.94,2.9,4.92,0.46,14.98,18.55,46.41,17.92,82.97,15.74,88.75,2863.39,51.01,21.97,72.54,94.93,5.07,9.26,0.71,8.27,34.49,27.46,10.61,39.63,1.37,22.58,21.47,66.85,65.36,67.12,62.83,17.12,19.89,16.09,14.84,1.56,0.63,0.09,2.06,39.85,0.36,20.98,0.762,10.0,28.0
Bhojpur,Bihar,34.16,1002.91,872.27,97.91,99.7,45.87,42.86,92.22,9.63,34.57,31.16,5.34,60.8,63.85,47.88,37.69,2.19,2.24,4.1,0.7,11.76,17.51,44.96,33.48,93.8,6.18,93.31,2214.05,61.75,12.62,80.6,97.77,0.75,11.81,1.41,7.66,40.65,31.26,13.0,44.03,2.21,23.09,20.82,51.37,67.68,73.58,72.68,14.0,16.97,13.86,14.46,0.5,0.33,0.33,2.44,43.73,0.5,17.79,0.728,10.0,29.0
Buxar,Bihar,32.68,1005.18,886.29,98.53,99.81,52.36,44.65,93.54,11.44,33.31,30.8,7.19,56.56,60.46,44.6,35.11,0.99,2.42,3.84,1.41,9.06,31.4,67.26,27.44,93.38,9.82,92.19,1685.56,50.87,7.69,81.7,90.42,6.42,10.42,3.71,8.32,39.64,33.17,15.13,45.31,4.94,21.06,16.58,57.7,68.34,66.21,65.96,12.93,11.46,13.89,10.46,0.34,0.31,0.0,1.79,42.24,0.14,11.38,0.72,10.0,30.0
Kaimur (Bhabua),Bihar,35.81,1018.15,943.98,96.68,97.96,59.08,29.03,93.71,18.07,29.45,27.08,2.62,58.93,78.58,59.69,44.03,0.43,3.52,7.3,1.67,3.7,45.11,62.55,25.58,93.47,3.64,97.16,1671.09,63.16,7.41,90.38,98.89,1.11,3.08,4.16,13.36,44.1,27.26,15.88,47.2,2.49,25.6,11.81,62.62,71.4,70.32,70.81,6.86,10.33,12.29,14.97,0.0,0.0,0.0,2.79,50.8,0.45,14.13,0.629,10.0,31.0
